element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,-5.7534637,-3.5315616,-3.0373719,0.14166263,-1.6200178,0.9036644,6.502133,1.6680067,17.94854,-3.180668,-8.446812,1.0319083,-0.5312486,3.8648715,3.040355,2.7987094,0.025176039,-7.5782247,3.471631,-1.4558936,-1.5002375,1.9938308,4.209762,0.23352328,17.608229,3.669432,-0.16694447,2.6039007,9.479599,4.240446,0.7270949,0.23666517,-1.8898853,-1.7688259,11.740423,-4.1904483,2.259267,0.8518199,-0.1746573,1.8164381,-4.426369,-11.73223,-5.618365,1.9148132,0.5960817,0.49347174,0.33815393,-11.844514,2.2666757,-9.128478,5.943507,-4.0229397,1.8550175,-6.606311,-0.75457287,2.7195177,-1.7840275,-3.1173465,2.0525994,-3.8620906,3.6401465,4.993165,-0.40199533,2.784339
He,0.17264545,-3.0460544,-4.3655367,4.1419716,-1.529743,6.864762,-2.487724,5.775511,5.324316,-7.3983088,-5.210269,3.5472178,2.0773382,-1.7425025,-0.1268096,4.328992,-1.3435526,-0.71453625,5.2230873,2.4962928,-1.9363496,4.193304,3.5269895,-5.1367474,11.130032,-4.741248,-1.451474,-2.4931996,5.6106772,-0.32904604,-1.9282788,1.5039905,-2.278595,1.0971603,5.6459675,1.83199,-0.7782798,5.707307,-5.7535357,2.1698184,-2.5652409,-6.7931404,-3.6345744,-1.1554984,-1.2596786,1.909121,-4.7761984,-7.3928003,0.32342935,-3.0378928,1.9003253,0.7424456,-5.3491716,0.15196401,1.0750543,-1.3818831,2.4023871,-2.4405546,-5.545959,0.26182055,1.8257891,1.1182275,1.6897453,1.4667366
Li,-1.1223898,-5.1650257,-5.027832,4.5833364,-2.1801975,-0.44447765,7.272219,0.44372255,3.1620696,1.9501448,-8.1552725,3.1515658,-0.6972407,1.0901445,1.2595723,-2.8722572,-0.026938004,-4.27858,1.4452546,-1.2744508,0.15962386,0.6910919,0.15009706,0.3991983,16.391129,1.7911072,-3.224578,0.47330585,2.1601443,1.7899503,-1.8322784,-2.7748106,-1.9536473,4.3665247,0.7400159,-1.2629467,1.0199113,0.59206355,-1.3972317,-2.6253238,-3.8413467,-11.63965,-4.4268107,2.1343014,-0.063117124,3.7304938,0.5846148,-5.912375,1.5071454,-5.3968387,1.6389633,-0.4693928,-1.712651,-6.5907927,-0.8630105,6.1152415,-3.0962842,2.4284446,-4.602225,3.0997553,2.1293046,4.36121,2.2681103,0.3361521
Be,3.4124172,-1.5366763,-4.6646047,4.867272,-0.25013325,3.409168,3.3326266,-3.4867895,8.5317545,-0.08414094,-11.113428,3.5335786,-0.7697733,-2.0569806,2.9399488,2.9330168,2.1846914,-3.7408967,-0.7562923,6.9465985,0.60229254,-1.7177523,2.363274,0.65031534,13.026262,-0.8185172,0.10630479,2.6959589,1.5765237,-0.51312006,-4.348811,11.693999,-9.69407,5.787765,0.45095465,4.220854,-1.2199042,1.0855235,5.801089,-0.32456562,0.7424692,-4.8942966,-6.4307084,-2.022316,1.6906334,2.2359357,4.305872,-5.1198616,-0.60131645,-3.7363865,6.2274246,-6.9460516,0.028611856,-5.578432,7.3889136,3.0954359,-5.8810906,0.44846162,4.233373,1.4736847,-2.6418862,6.3686237,6.3064923,2.021831
B,-9.7866335,-6.5409174,-4.4333477,6.437131,2.7736669,0.7249844,-1.7632658,-4.130252,3.3714325,4.0756984,-5.702661,0.2912715,-3.1756911,-2.4880862,-3.665591,-0.2460942,-0.8939717,-10.036793,-2.368374,9.120431,3.9737322,3.5592618,0.19024989,1.9055449,12.721329,3.6874535,-4.15386,3.0419044,-3.676473,1.706476,4.846786,9.13976,-4.534597,0.3862358,9.832422,7.0048685,3.7669828,3.4195065,4.040879,-0.13898057,-0.113405146,-3.3651106,-6.6231256,1.1313038,1.3913032,0.591389,4.4527044,-1.5156013,-3.9598598,-3.4327803,7.2383776,-6.6202025,-4.46164,-4.8150477,3.6059763,1.2134402,5.3560176,-2.224013,-2.8670516,-2.2662446,-0.23811425,5.797948,-0.5367686,1.4183884
C,-4.480829,-0.73039126,-8.493346,2.1757605,0.27037174,3.736013,-1.6092077,-0.22443299,7.1135793,0.13822097,-6.6794276,1.7190514,-0.64240354,-2.021065,3.5139174,-3.8346603,-0.60862494,-0.04800691,3.4047058,2.5973754,-1.4378772,-6.488556,-0.17520651,0.08996231,9.059289,3.3826613,0.8221841,3.697234,3.548858,1.694482,0.449976,7.977857,1.3632035,5.5459447,8.089357,1.0281973,-2.351125,-1.0585407,4.9750667,1.593569,3.0455532,-3.748687,-11.155815,4.5512524,-0.024731774,0.60226077,0.89472467,4.148416,3.1485968,-0.2206068,0.4896676,-1.4426428,-0.86553764,-5.633455,2.9405837,0.76096594,0.64816636,1.0271798,-4.0280533,2.4096406,4.631963,5.652012,-2.513125,0.55092704
N,-5.738765,1.5344669,-5.871069,4.1042566,2.5516202,-0.022829821,-3.8617558,-2.543539,5.6948814,1.2266212,-8.45911,2.1447003,-1.0770242,2.6989145,3.3818088,-1.179654,-1.4115304,-2.745351,6.012683,1.4729582,-0.5391355,-5.3734574,0.27081102,3.0051193,10.027036,1.67932,-0.91102606,-0.9189372,-0.004308135,0.39519215,4.2473216,9.5910225,2.6640916,0.4432583,10.694541,2.8014464,1.6561294,0.7759627,4.0821543,3.1255927,2.1100311,-0.095101684,-7.9633937,-0.19299287,0.33868107,1.6432506,4.6806593,-7.778523,3.1716275,-2.6063502,2.2667215,-2.1844258,0.4786544,-5.816387,4.61584,3.4788582,-2.7577307,-1.1049298,-6.040384,2.9181392,4.4525304,5.1427617,0.32656655,5.385207
O,-3.453273,-0.025287444,-1.763752,4.074743,0.6630689,0.05218721,-3.6541307,-0.990047,4.79493,0.5633095,-3.070759,-0.6784973,0.31668782,2.735469,0.6448278,-0.29536152,-1.9388422,-2.3785365,-0.4607188,1.4139941,-1.2937516,-1.8816446,1.2025521,0.94771177,9.699045,0.04147504,-0.054293215,0.7467015,-2.4605758,2.6488793,3.1409132,16.207104,-0.28369975,1.3076669,10.268819,2.7676928,1.6869363,2.6013467,0.17356545,-0.76699924,0.66635036,-1.2962922,-5.7503276,3.0631359,1.0286086,1.4743823,3.788968,-9.742387,2.9668384,-2.9631119,2.3898585,0.21725933,1.3526168,-3.2743523,3.547223,0.87902725,-0.95210403,-0.90430063,-3.038805,-1.3241054,1.2717422,4.6128035,0.8416211,1.8781251
F,-2.1960013,0.72694147,-0.67142856,3.9577973,1.1133039,0.62643635,-4.5415573,-0.26228282,3.9452062,0.9553277,-4.2827992,-0.083665624,1.2203672,2.857558,1.0653188,2.4648128,-1.955712,-2.2819052,-0.8721923,0.9780669,-0.07900773,-0.8830153,2.6232998,0.7413876,10.096768,-0.83948284,-1.1596721,0.09079621,-0.70547795,1.5279187,0.19701509,12.103135,1.0724375,2.2313368,9.512667,0.7910157,4.0913005,-0.7828173,0.6243723,0.13316496,-1.1489553,0.43313864,-5.1947346,3.4186618,1.177997,0.571043,0.576608,-13.263509,1.3025298,-4.2235527,1.4470594,-1.2190347,1.2834576,-1.8587015,1.6841041,-4.332222,1.4069569,-0.03604679,-0.98271966,0.076615095,2.6198618,3.8669345,1.0317178,1.442452
Na,0.7704418,-6.3231287,-4.7610273,3.9198923,-1.7139028,-2.5540502,2.8192065,1.1236856,4.8268614,3.201762,-7.420685,1.5329204,0.296038,1.5926998,-1.0712223,0.3754152,-1.8535695,-4.255606,2.269936,-7.8125625,-1.017337,1.4734653,1.377692,0.29593727,14.223472,1.5749903,-3.4666228,0.5262926,-1.018346,0.896537,-0.16263796,0.28958794,0.47388765,0.92061526,-0.12220011,-1.3711585,3.0350127,-0.27219176,0.45975184,-1.0152982,-4.884005,-9.166062,-3.135137,1.6395898,-0.36398274,3.5345318,0.37735897,3.2321427,4.559727,-3.1934454,1.4148642,-1.1022196,0.1852866,-5.695962,1.260084,3.2194781,0.71131873,2.3266695,-5.725257,-0.6422492,1.4697738,3.1973403,-1.5674884,3.8033774
Mg,-2.1327791,1.2678719,-5.722638,0.865668,-0.58150506,1.0816821,4.6860337,2.1387541,7.3978333,-1.0233544,-4.4612126,3.698947,-2.810501,4.1791654,-0.115992256,-2.121032,-1.4067047,-4.221445,-0.8963084,-4.374085,1.0687715,0.8403734,-2.1196492,1.0459442,9.650221,-0.08139967,-0.33214545,1.3827474,-5.151918,0.3116022,-3.2514656,5.6232243,-2.2728498,2.6480625,0.033434745,1.1617742,1.3582102,0.8955862,1.6078445,1.9526464,-2.444831,-3.3759522,1.2035731,0.5702439,0.16667962,4.037549,1.3117197,-2.1206553,2.9451518,-5.0853243,1.2696593,-1.5750625,-1.492477,-7.283954,4.245809,0.8694886,-6.1930866,1.9201593,-3.5513575,2.3917296,-0.97900814,2.3237913,-2.6142495,-0.72592485
Al,-0.36853892,1.5677099,-4.1171637,2.3901012,-0.78329957,-0.49006578,5.838682,-1.7233084,8.843695,2.582827,-4.7404766,2.0062704,-1.6868283,0.57628214,1.1268164,-2.1439474,1.060637,-3.315752,-2.6242623,3.1762583,4.6978383,-0.43538943,-1.8938712,1.8084961,6.6939845,-2.346791,4.421188,-0.19009532,-4.056751,1.9454433,1.3254343,8.390169,-2.920827,0.96032935,3.7934873,1.361058,4.919125,3.9970183,-1.1818365,1.1545908,-2.559444,-6.646619,-6.6397133,2.1145737,3.7606142,0.7687269,0.5730057,-6.7956223,1.2302054,-4.497145,3.776974,0.27647758,-3.5991435,-5.6364403,6.1508293,2.8723655,-4.7206364,-1.0219376,-2.475295,3.3827853,-0.5456893,2.8834257,1.7214501,0.68034214
Si,-2.9964914,2.0729754,-5.8859234,0.55546963,-0.59948975,0.33512524,0.11931145,-3.2651823,6.606899,2.5231526,-5.346187,-0.36434904,0.060085393,-1.4389906,1.16287,0.7827907,2.9288363,-2.8372989,-0.6978661,6.098549,-1.3954018,2.2812567,2.6330009,1.8335158,8.952895,-3.280001,0.96435004,-1.0749614,-8.250869,3.4513206,3.7708006,6.261642,-5.392041,3.4164798,7.6229324,1.6467613,3.829384,0.06782481,1.0199784,0.389043,-3.6396673,-3.9683065,-9.138865,2.3166249,0.05426336,0.7685643,3.468916,-4.7543335,2.0105252,-6.1880975,5.0952315,1.1445516,-1.366872,-6.856357,6.6312227,6.5855,-0.85329413,-0.5574067,-0.68803287,1.9613608,-2.1854486,1.8816725,3.5750127,1.8903112
P,-3.6788976,3.3114154,-4.8959155,1.4567757,0.670383,0.7337304,0.1347828,-3.4631536,10.35022,2.9941397,-3.6851373,-0.40569484,1.0735316,1.6916718,-1.3895682,-3.453144,0.97189766,-5.1031604,0.05882814,5.0644507,-2.3953326,2.131561,1.0519714,2.1228325,9.029152,-0.32686996,-0.0038163816,1.9837902,-4.045733,3.085359,2.7208052,5.7753825,-1.4505286,4.5556574,9.4659195,1.0245564,2.8562603,1.7354865,0.06789053,0.25811723,-2.3087955,-1.6519586,-9.305756,2.2024455,1.3801003,4.4702206,6.9958124,1.1169997,-0.1538948,-1.0185215,3.3830864,-2.1171567,-0.8898336,-1.5116115,3.043481,1.7769822,-2.0797608,1.8922242,-2.7986147,-1.1830564,0.59441924,4.0218463,3.4457445,4.8164015
S,-4.716248,0.7923837,-4.476697,3.2682755,2.5308325,2.736426,-0.43831465,-1.8626002,5.8208303,2.3286955,-3.2034037,0.5921472,-0.70732963,0.26745778,-1.2361715,-1.5007615,-0.9098046,-1.5165057,-0.75372386,3.1623824,-1.448158,0.041075215,2.992417,2.5152595,7.6261826,0.63662285,-0.17750216,3.12565,-5.171427,3.5956347,4.850206,4.3358746,-0.65407217,2.9438906,12.425656,0.51652586,2.803082,-0.9786878,2.7593215,1.5392126,2.4264777,-3.812395,-6.4230556,4.0725517,0.4810203,3.1745713,5.480076,-6.738351,0.1427757,-1.1360952,2.8774695,-1.160102,2.7493937,-4.459888,-0.7223147,1.645747,-6.12827,-2.741811,-1.199307,-0.6644658,0.8057318,5.8972874,0.9797,2.6403027
Cl,0.05400117,-1.1250745,-1.1324742,2.1112883,0.3217994,0.3130218,-2.0032055,-1.0550145,3.6300285,1.0073127,-4.9749722,-1.5346316,-0.3157532,-2.4940875,-3.4868853,-1.4439305,-2.999672,1.5017287,-0.07707613,-0.1611462,-0.102504306,-1.2105179,1.6159478,0.5881224,7.9081874,0.8031378,-1.4280853,1.573984,-5.4986887,1.9377432,3.1303444,5.2241373,0.90533006,1.5901265,8.825205,0.6456262,2.9755404,1.2852001,2.1693265,3.739751,0.5363497,-1.0082871,-5.713996,1.857364,0.8489193,-0.23991619,3.6033707,-10.886483,0.36620235,-2.794916,0.65772384,0.8832,0.31317276,-1.5357602,-0.68462974,1.2426425,-6.0406976,0.7054217,2.7679677,2.0744772,-1.0830238,4.246483,1.818096,0.24543434
K,3.1871927,-3.9082522,-3.5449896,2.6467469,-0.3539422,-0.89513683,1.9092001,-0.19598451,7.825569,1.9928988,-5.0354147,-0.65721035,-1.4200228,2.064616,-3.456275,1.1689506,-0.8534448,-0.49007794,1.7157778,-9.34425,-0.57872164,1.6498454,2.6169367,0.476498,11.91745,0.92704254,-3.8243055,-0.4472484,-0.08484512,2.8685098,4.80017,1.0925128,0.29213917,-1.1590345,-1.6767771,-0.5740202,5.653544,-0.2057968,1.3045374,-1.6300814,-2.7964354,-5.141547,-3.104604,0.60018873,3.2921157,2.528789,2.581903,5.7202363,3.2393897,-3.3443704,1.8239412,-1.6675076,1.0955604,-4.9454856,1.6834378,3.5807703,3.0464664,0.3054438,-2.8004327,-0.62075794,0.32441372,1.5904938,-2.95591,1.731839
Ca,-1.4426696,-1.4615701,-2.6992579,0.9724883,0.60837233,0.24466752,0.752288,2.368393,6.5196085,-0.14442575,-5.3336396,1.6689966,1.3662059,5.181431,-1.4196545,-1.0668793,-0.58961046,-3.543109,-0.54180974,-7.055647,0.26721033,-0.2197023,-2.4087718,1.6671151,9.796502,4.7811494,-2.2391253,-0.08128684,-4.065787,0.92520946,2.9388993,1.4139316,1.7253759,-0.75368,-1.7258745,-3.1422215,6.882034,-1.8824865,0.48841798,0.77932256,-1.1154877,-6.101063,-0.16813204,0.73573136,2.4727368,4.7699337,-0.97101295,5.2145395,-1.0492752,-2.7363822,0.35073662,-1.1323693,-2.9239304,-3.3595326,1.4256585,2.4761388,-1.4080805,1.6249484,-4.077923,2.5655122,-1.0117643,2.4395761,-0.48652962,2.8636274
Sc,-2.9518995,1.2378919,-2.0687594,-0.48777395,0.022452986,-0.0035229567,3.2966876,0.77919686,7.500744,2.1572924,-6.9622,6.523839,-4.2388463,3.6053345,0.96873116,0.1745102,-3.232239,-5.288007,-1.2151414,-0.44730666,-0.07964998,-1.5625933,-2.465401,-1.4510128,7.682642,2.472997,0.43847358,-0.21485828,-8.139261,2.5870245,1.5084846,0.065861195,-2.0281057,-0.8793864,-5.5139494,-3.277229,8.989515,-0.014540723,0.6764428,-0.52689314,-0.02565382,-2.5226004,0.54531765,-3.104977,0.055275477,1.5746417,3.0808015,-4.192878,0.23687235,-2.35217,1.1089187,-0.9574556,1.5567193,-3.9869723,5.5328636,2.5465162,0.85109067,-0.12603988,-3.539689,2.7369854,-0.71744794,3.9170525,0.2830021,-3.82429
Ti,-4.6559362,2.511165,-10.1695385,3.44809,-1.5297241,-4.5895224,6.1818976,-0.18285742,3.2759304,3.2326696,-7.023823,1.0419352,-5.7101865,4.5025125,-2.370654,3.2505586,0.8801689,-4.071565,-2.1469154,-2.3362527,0.24455272,0.0821275,-4.540273,-2.0368652,11.760488,-0.098304234,1.5340439,0.69370246,-6.1946344,-0.32694185,0.2488263,0.98070437,-2.2231853,2.8121538,-2.716971,-3.318013,6.451066,-2.8853157,-3.9550848,-3.613969,-0.50981915,-2.486225,-6.325693,-1.1362687,-2.9659498,-0.94903785,3.5530467,1.262242,-2.0724733,-0.9604403,2.5774817,-2.0229917,-2.8440301,-4.430361,3.1760752,4.0484495,-1.2902707,-0.03089779,-4.287775,3.319982,-3.197695,1.8077246,0.24456362,-0.37348992
V,-0.37376127,0.7567279,-11.385496,3.409267,-0.60830563,-1.6903665,6.7948728,-2.0342956,8.40257,2.1937702,-7.821847,-0.55866194,-6.368255,1.7009126,-1.0164902,3.0399425,-2.5342288,-4.9594483,-1.2309899,0.35347965,-2.8338702,1.4068993,-2.4081988,-2.4588256,11.763334,5.6861386,-1.1722729,-2.3895102,-3.2533915,2.064988,5.8901987,-1.5389608,1.5530566,7.0924435,-1.3908494,-2.4294782,-0.3301707,1.2354182,2.1667204,-2.4369128,1.9243597,-4.3836412,-6.288363,0.884798,0.75672466,-0.7924769,4.4005117,1.2217236,1.4162612,-2.2852807,3.381656,1.7456177,0.1531933,-2.7630208,1.00725,0.3014632,-0.92447877,1.62674,-0.68620867,3.6139545,-1.6313676,6.867747,-0.014573588,1.0372837
Cr,-5.9142294,-3.642727,-9.151711,1.6407617,-4.267924,2.0935414,2.1794708,0.4915101,9.795978,1.1375605,-9.011217,-0.84146637,-1.803561,1.8622715,-0.6918617,-2.2958148,-1.7026013,-5.9753733,0.79189,-3.2079868,-1.0606757,1.6777843,0.04120049,-2.8925874,9.8047085,-0.5863903,-1.6186304,-2.0484138,-3.6919055,2.8978095,3.658468,-2.7733352,-4.478465,3.9705722,0.6658584,3.6174824,-1.623869,2.2143848,-0.30904594,-4.993925,-1.2944287,-6.515486,-5.469881,4.8551583,1.4052533,-0.62092376,9.6170635,-1.111646,3.1078815,-1.192517,0.14627579,1.8890568,0.6332672,-2.4199786,0.57527786,-2.0147252,-2.9256332,-3.3161728,-1.6183431,6.0931067,-4.2943454,4.7371244,2.7028878,5.0455713
Mn,-3.0744267,-6.6724715,-11.124435,3.4901078,-4.5135927,2.558691,-4.7833633,-2.858703,11.857367,3.6637318,-7.467288,-0.035340212,-2.333271,4.4267564,-1.2751223,-5.3159194,2.4591143,-4.804847,0.21052243,3.0397725,-1.5685128,1.8922182,-1.1295766,-2.1431277,8.549734,1.2517575,-2.109102,1.5831646,-0.66111916,1.275361,4.3293085,-7.699016,-1.2858299,8.154801,1.9385227,-2.787144,-1.3769528,1.4935385,-3.849755,-0.5194182,-0.2295748,-4.646238,-2.4954734,4.4470057,1.1846714,-0.5571813,2.097945,-2.8640122,-0.97902703,-6.7281113,2.9862807,0.6151584,1.3181647,-1.4887601,2.1846774,-1.5909802,-3.9374697,-2.40434,-0.85633266,3.732321,-0.25705925,4.402929,2.133555,2.2656074
Fe,-4.3445554,-1.2170681,-4.9047446,3.9140162,-0.41709942,3.0624366,7.07685,-1.896495,8.780799,-2.2191443,-6.6639376,-1.5435977,0.6595306,0.0987349,-0.34890947,-2.5331063,-0.94012284,-2.8926623,0.8403392,1.0975395,-2.1548412,-0.9495517,-0.30017385,0.3551812,9.043074,2.2985168,-0.99132246,0.07111708,0.15026188,1.1683633,7.7609653,-0.34937933,0.057688948,6.039616,9.87462,-2.1499462,-2.4948823,-3.7789342,-0.76173943,1.0015191,3.66492,-3.1428823,-2.6627843,2.0489209,-2.5833437,0.6442365,1.8124112,-6.704273,3.7644236,-5.274257,7.1962523,-0.9555704,4.1789804,-2.3268924,7.8627453,0.8712915,-3.5377371,-0.63415116,-4.2088056,0.83317363,-1.2346554,6.899952,2.4567354,3.1014628
Co,-1.5772198,-2.5163245,-6.6970778,2.3150342,-1.182106,0.5858936,9.7311,-3.0623195,9.389445,-2.315845,-8.936515,-0.772513,-3.1448555,1.0115436,-0.91116685,-5.0525546,-1.9451913,-0.7186459,-1.0104302,2.0860522,-4.429417,-5.542513,1.2744504,0.4779469,8.510969,1.7682977,-3.7404683,-1.1226202,2.8206124,2.032598,7.2254505,4.2426114,-2.3883934,6.0335937,8.396177,-0.56897926,-1.8414344,-3.1963153,0.36544093,-1.7131568,-0.03692554,-5.065654,-3.0500972,2.6212656,-3.7462513,0.10218896,-0.20383734,-4.5513015,6.2185264,-6.009367,5.4408555,-1.7420713,0.13316716,3.2813783,-1.3106549,-2.3495202,-3.2732313,-1.4253277,-4.8948145,1.7255718,1.5593681,3.7079947,2.236617,2.9982026
Ni,-3.212845,-1.3870875,-4.747089,3.4236066,-1.7167544,4.7946596,5.6640606,-1.0288264,9.834079,1.382532,-6.8629475,-0.59108245,-3.5527265,-0.9464932,-1.6963607,-3.5103502,-2.4509518,0.59873307,0.17991473,0.21605067,-6.3529325,-3.1263933,-0.35624552,-1.4355493,6.566653,-3.7490776,-4.362036,0.5430026,3.9842567,0.60187745,3.2157965,0.008134282,-0.8302836,3.0397758,9.975925,-1.4005831,-5.500025,-5.8524127,3.3955748,-2.3597145,0.19486508,-7.873748,-4.299325,3.7897806,0.21834277,-0.86520153,3.8699946,-5.648899,3.3391283,-10.207763,1.8466871,-2.1536572,0.26619172,-1.2047927,5.6548257,1.2572833,-6.5557313,-0.06517901,-4.4399242,2.2161112,7.4760303,4.3409233,2.136236,3.5679953
Cu,1.396532,1.0935564,-7.819215,3.7908313,0.4183665,5.8834424,4.153436,-4.7848754,8.100349,1.2642802,-8.550345,2.5450242,-0.46117795,-1.1601552,1.1808544,-0.15545917,-1.8614279,4.191473,-0.90817845,0.7167689,-5.631915,-5.0525823,3.2468786,1.9718386,7.7953815,-1.4440334,-6.483811,3.9366517,3.760614,0.45063692,6.351181,2.12675,1.054688,4.6696706,6.804872,-2.2459521,-4.791104,-0.36232033,0.43267748,0.5692476,-3.4990456,-12.462614,-1.6487293,3.7711601,-2.7646694,-1.938841,2.6327488,-7.5382953,2.5156667,-3.1921158,-1.5855879,-0.57395285,-3.653236,-2.2632637,7.909918,-1.8709347,-5.294312,-1.3858168,-3.9561787,-1.1089269,0.18192774,7.175424,0.4589015,2.648524
Zn,-2.1344416,-1.9528137,-4.858493,3.2031486,1.3555224,-0.0022072375,2.0808601,-2.768346,11.660372,-3.163437,-5.857079,5.131423,0.73961055,0.59615964,-2.42056,2.864956,-4.2299213,2.3517547,-0.2364463,-1.0485448,-2.7914107,-3.303651,-0.7493551,1.5994668,8.481734,0.3704434,2.2623365,4.4609966,-0.31621766,2.9965527,4.5155826,1.1489162,1.5740684,2.3531392,8.364942,1.9169428,0.2367166,-0.9609724,5.902196,-1.7829359,-3.4906843,-6.915687,2.1263502,3.641604,0.7697524,3.519613,-0.18745083,-4.141112,2.9556742,-2.676827,3.1494296,-1.4529622,-3.020427,0.19501676,7.6522617,2.5626276,-5.9212575,0.99839956,-2.8713686,2.869583,2.1449907,5.4430428,-1.476467,3.1682224
