element,Atomic_Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Density_(g/mL),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy
H,1.0,1.00794,1.0,1.0,7.0,0.0,1.0,0.0,92.0,0.0,0.53,98.6,0.37,1.25,0.25,0.1,2.2,2.1,7.1784,7.18,2.3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,1312.0,0.7,14.05,20.25,6.99e-05,14.304,0.5868,0.44936,0.1815,218.0,0.0
He,2.0,4.002602,1.0,18.0,9.0,0.0,1.0,0.0,98.0,0.0,0.31,98.6,0.32,0.0,0.31,0.0,0.0,0.0,12.0486,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,0.0,2372.0,0.198,0.95,4.25,0.000179,5.193,0.02,0.0845,0.152,0.0,0.0
Li,3.0,6.941,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.67,152.0,1.34,1.61,1.45,0.9,0.98,0.9,3.2223,3.01,0.912,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,520.0,24.3,453.65,1615.15,0.543,3.6,3.0,145.92,84.7,161.0,1.63
Be,4.0,9.01218,2.0,2.0,2.0,1.0,0.0,0.0,67.0,0.0,1.12,112.0,0.9,1.08,1.05,0.41,1.57,1.45,3.7942,4.9,1.576,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,2.0,899.0,5.6,1551.15,3243.15,1.85,1.82,7.95,292.4,200.0,324.0,3.32
B,5.0,10.811,2.0,13.0,6.0,0.0,0.0,1.0,72.0,1.0,0.87,88.0,0.82,0.795,0.85,0.25,2.04,1.9,4.5951,4.29,2.051,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,10.0,14.0,3.0,801.0,3.0,2352.15,4275.0,2.34,1.02,50.2,489.7,27.0,573.0,5.81
C,6.0,12.011,2.0,14.0,7.0,0.0,1.0,0.0,77.0,1.0,0.67,77.0,0.77,0.64,0.7,0.29,2.55,2.37,5.6246,6.27,2.544,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,10.0,14.0,4.0,1086.0,1.8,3640.15,5100.15,2.25,0.71,105.0,355.8,129.0,717.0,7.37
N,7.0,14.00674,2.0,15.0,7.0,0.0,1.0,0.0,82.0,1.0,0.56,72.0,0.75,0.54,0.65,0.3,3.04,2.85,6.8834,7.3,3.066,3.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,3.0,10.0,14.0,5.0,1402.0,1.1,63.25,77.35,0.00125,1.04,0.3604,2.7928,0.02598,473.0,4.92
O,8.0,15.9994,2.0,16.0,7.0,0.0,1.0,0.0,87.0,1.0,0.48,64.0,0.73,0.465,0.6,1.21,3.44,3.32,8.3703,7.54,3.61,0.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,2.0,10.0,14.0,6.0,1314.0,0.793,54.75,90.15,0.00143,0.92,0.22259,3.4099,0.02674,249.0,2.62
F,9.0,18.998403,2.0,17.0,8.0,0.0,1.0,0.0,93.0,1.0,0.42,98.6,0.71,0.405,0.5,1.19,3.98,3.78,10.0854,10.41,4.193,0.0,7.0,7.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,14.0,7.0,1681.0,0.634,53.35,85.05,0.0017,0.82,0.2552,3.2698,0.0279,79.0,0.84
Ne,10.0,20.1797,2.0,18.0,9.0,0.0,1.0,0.0,99.0,1.0,0.38,98.6,0.69,0.0,0.38,0.0,0.0,0.0,12.0317,0.0,4.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,0.0,2081.0,0.396,24.45,25.15,0.0009,0.904,0.3317,1.7326,0.0493,0.0,0.02
Na,11.0,22.989768,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.9,180.0,1.54,2.65,1.8,1.16,0.93,0.89,2.5378,2.85,0.869,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,496.0,23.6,370.95,1156.15,0.971,1.23,2.598,96.96,141.0,109.0,1.113
Mg,12.0,24.305,3.0,2.0,2.0,1.0,0.0,0.0,68.0,0.0,1.45,160.0,1.3,2.03,1.5,0.86,1.31,1.31,2.9745,3.75,1.293,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,2.0,738.0,10.6,922.15,1363.15,1.74,1.02,8.954,127.4,156.0,148.0,1.51
Al,13.0,26.981539,3.0,13.0,5.0,1.0,0.0,0.0,73.0,1.0,1.18,141.0,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,10.0,14.0,3.0,578.0,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237.0,326.0,3.39
Si,14.0,28.0855,3.0,14.0,6.0,0.0,1.0,0.0,78.0,1.0,1.11,110.0,1.11,1.42,1.1,0.4,1.9,1.98,4.1852,4.77,1.916,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,10.0,14.0,4.0,787.0,5.4,1683.15,2628.15,2.33,0.71,50.55,384.22,148.0,452.0,4.63
P,15.0,30.973762,3.0,15.0,7.0,0.0,1.0,0.0,83.0,1.0,0.98,102.0,1.06,1.24,1.0,0.31,2.19,2.32,4.9591,5.62,2.253,3.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,3.0,10.0,14.0,5.0,1012.0,3.6,317.25,553.15,1.82,0.77,0.657,12.129,0.235,315.0,3.43
S,16.0,32.066,3.0,16.0,7.0,0.0,1.0,0.0,88.0,1.0,0.88,103.0,1.02,1.1,1.0,0.43,2.58,2.65,5.8458,6.22,2.589,2.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,2.0,10.0,14.0,6.0,1000.0,2.9,385.95,717.85,2.07,0.71,1.7175,9.8,0.269,279.0,2.85
Cl,17.0,35.4527,3.0,17.0,8.0,0.0,1.0,0.0,94.0,1.0,0.79,98.6,0.99,1.01,1.0,1.67,3.16,2.98,6.8446,8.3,2.869,0.0,7.0,7.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,14.0,7.0,1251.0,2.2,172.15,238.55,0.00321,0.48,3.23,10.2,0.0089,121.0,1.4
Ar,18.0,39.948,3.0,18.0,9.0,0.0,1.0,0.0,100.0,1.0,0.71,98.6,0.97,0.0,0.71,0.0,0.0,0.0,7.9552,0.0,3.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,0.0,1521.0,1.586,83.95,87.45,0.00178,0.52,1.188,6.447,0.01772,0.0,0.08
K,19.0,39.0983,4.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.43,230.0,1.96,3.69,2.2,1.52,0.82,0.8,2.7882,2.42,0.734,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,419.0,43.4,336.4,1033.15,0.86,0.75,2.334,79.87,102.4,90.0,0.934
Ca,20.0,40.078,4.0,2.0,2.0,1.0,0.0,0.0,7.0,0.0,1.94,201.0,1.74,3.0,1.8,1.14,1.0,1.17,3.0128,2.2,1.034,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,2.0,590.0,22.8,1112.15,1757.15,1.55,0.63,8.54,153.3,200.0,178.0,1.84
Sc,21.0,44.95591,4.0,3.0,3.0,1.0,0.0,0.0,11.0,2.0,1.84,162.0,1.44,2.75,1.6,0.89,1.36,1.5,3.0728,3.34,1.19,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,9.0,14.0,2.0,633.0,17.8,1814.15,3105.15,2.99,0.6,14.1,314.2,15.8,378.0,3.9
Ti,22.0,47.88,4.0,4.0,4.0,1.0,0.0,0.0,43.0,2.0,1.76,142.0,1.36,2.58,1.4,0.75,1.54,1.86,3.1359,3.45,1.38,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,14.0,2.0,659.0,14.6,1933.15,3560.15,4.54,0.52,15.45,421.0,21.9,470.0,4.85
V,23.0,50.9415,4.0,5.0,4.0,1.0,0.0,0.0,46.0,2.0,1.71,134.0,1.25,2.43,1.35,0.68,1.63,2.22,3.2021,3.6,1.53,5.0,5.0,3.0,2.0,0.0,3.0,0.0,0.0,6.0,7.0,14.0,2.0,651.0,12.4,2163.15,3653.15,6.11,0.49,20.9,453.0,30.7,514.0,5.31
Cr,24.0,51.9961,4.0,6.0,4.0,1.0,0.0,0.0,49.0,2.0,1.66,130.0,1.27,2.44,1.4,0.76,1.66,2.0,3.2713,3.72,1.65,5.78,6.0,4.0,1.0,0.0,5.0,0.0,1.0,6.0,5.0,14.0,1.0,653.0,11.6,2130.15,2945.15,7.19,0.45,16.9,344.3,93.7,397.0,4.1
Mn,25.0,54.93805,4.0,7.0,4.0,1.0,0.0,0.0,52.0,2.0,1.61,132.0,1.39,2.22,1.4,0.81,1.55,2.04,3.3437,3.72,1.75,5.78,7.0,5.0,2.0,0.0,5.0,0.0,0.0,6.0,5.0,14.0,2.0,717.0,9.4,1517.15,2235.15,7.43,0.48,12.05,226.0,7.82,281.0,2.92
Fe,26.0,55.847,4.0,8.0,4.0,1.0,0.0,0.0,55.0,2.0,1.56,125.0,1.25,2.11,1.4,0.69,1.83,1.67,3.419,4.06,1.8,5.78,8.0,5.0,2.0,0.0,6.0,0.0,0.0,6.0,4.0,14.0,2.0,762.0,8.4,1808.15,3023.15,7.86,0.44,13.8,349.6,80.2,418.0,4.28
Co,27.0,58.9332,4.0,9.0,4.0,1.0,0.0,0.0,58.0,2.0,1.52,125.0,1.26,2.02,1.35,0.54,1.88,1.72,3.4976,4.3,1.84,5.78,9.0,4.0,2.0,0.0,7.0,0.0,0.0,6.0,3.0,14.0,2.0,760.0,7.5,1768.15,3143.15,8.9,0.42,16.19,376.5,100.0,425.0,4.39
Ni,28.0,58.6934,4.0,10.0,4.0,1.0,0.0,0.0,61.0,2.0,1.49,126.0,1.21,2.18,1.35,0.7,1.91,1.76,3.5791,4.4,1.88,5.78,10.0,3.0,2.0,0.0,8.0,0.0,0.0,6.0,2.0,14.0,2.0,737.0,6.8,1726.15,3003.15,8.9,0.44,17.47,370.4,90.7,430.0,4.44
Cu,29.0,63.546,4.0,11.0,4.0,1.0,0.0,0.0,64.0,2.0,1.45,126.0,1.38,2.04,1.35,0.71,1.9,1.08,3.6637,4.48,1.85,5.44,11.0,2.0,1.0,0.0,10.0,0.0,1.0,6.0,0.0,14.0,1.0,745.0,6.7,1356.15,2840.15,8.96,0.38,13.05,300.3,401.0,338.0,3.49
Zn,30.0,65.39,4.0,12.0,4.0,1.0,0.0,0.0,69.0,2.0,1.42,140.0,1.31,1.88,1.35,0.74,1.65,1.44,3.7515,4.45,1.59,4.44,12.0,1.0,2.0,0.0,10.0,0.0,0.0,6.0,0.0,14.0,2.0,906.0,6.4,692.75,1179.15,7.13,0.39,7.322,115.3,116.0,131.0,1.35
Ga,31.0,69.723,4.0,13.0,5.0,1.0,0.0,0.0,74.0,1.0,1.36,134.0,1.26,1.695,1.3,0.76,1.81,1.7,4.1672,3.2,1.756,3.44,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,10.0,14.0,3.0,579.0,8.1,302.95,2676.15,5.9,0.37,5.59,258.7,40.6,286.0,2.81
Ge,32.0,72.61,4.0,14.0,6.0,0.0,0.0,1.0,79.0,1.0,1.25,114.0,1.22,1.56,1.25,0.53,2.01,1.99,4.6406,4.6,1.994,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,10.0,14.0,4.0,762.0,6.1,1220.55,3103.15,5.32,0.32,36.94,330.9,59.9,377.0,3.85
As,33.0,74.92159,4.0,15.0,6.0,0.0,0.0,1.0,84.0,1.0,1.14,115.0,1.19,1.415,1.15,0.72,2.18,2.27,5.172,5.3,2.211,3.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,3.0,10.0,14.0,5.0,947.0,4.3,1090.15,890.15,5.73,0.33,27.7,34.76,50.0,302.0,2.96
Se,34.0,78.96,4.0,16.0,7.0,0.0,1.0,0.0,89.0,1.0,1.03,118.0,1.16,1.285,1.15,0.56,2.55,2.54,5.761,5.89,2.434,2.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,2.0,10.0,14.0,6.0,941.0,3.8,490.15,958.15,4.79,0.32,6.694,37.7,0.52,227.0,2.46
Br,35.0,79.904,4.0,17.0,8.0,0.0,1.0,0.0,95.0,1.0,0.94,98.6,1.14,1.2,1.15,1.82,2.96,2.83,6.4079,7.59,2.685,0.0,7.0,7.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,14.0,7.0,1140.0,3.1,265.95,331.95,3.12,0.473,5.286,15.438,0.122,112.0,1.22
Kr,36.0,83.8,4.0,18.0,9.0,0.0,1.0,0.0,101.0,1.0,0.88,98.6,1.1,0.0,0.88,0.72,3.0,1.6800000000000002,7.1127,6.122,2.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,0.0,1351.0,2.5,116.15,121.15,0.00374,0.248,1.638,9.029,0.00949,0.0,0.116
Rb,37.0,85.4678,5.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,2.65,244.0,2.11,4.1,2.35,1.66,0.82,0.8,3.1886,2.34,0.706,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,403.0,47.3,312.05,959.15,1.53,0.363,2.192,72.216,58.2,86.0,0.852
Sr,38.0,87.62,5.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,2.19,212.0,1.92,3.21,2.0,1.32,0.95,1.13,3.3588,2.0,0.963,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,2.0,549.0,27.6,1042.15,1657.15,2.54,0.3,8.3,144.0,35.3,164.0,1.72
Y,39.0,88.90585,5.0,3.0,3.0,1.0,0.0,0.0,12.0,2.0,2.12,179.0,1.62,2.94,1.85,1.04,1.22,1.41,3.4043,3.19,1.12,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,9.0,14.0,2.0,600.0,22.7,1796.15,3610.15,4.47,0.3,11.4,363.0,17.2,423.0,4.37
Zr,40.0,91.224,5.0,4.0,4.0,1.0,0.0,0.0,44.0,2.0,2.06,158.0,1.48,2.825,1.55,0.86,1.33,1.7,3.4521,3.64,1.32,4.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,14.0,2.0,640.0,17.9,2125.15,4650.15,6.51,0.27,16.9,582.0,22.7,609.0,6.25
