element,Atomic_Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Density_(g/mL),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy
Nb,41.0,92.90638,5.0,5.0,4.0,1.0,0.0,0.0,47.0,2.0,1.98,143.0,1.37,2.76,1.45,0.78,1.6,2.03,3.5023,4.0,1.41,5.0,5.0,3.0,1.0,0.0,4.0,0.0,1.0,6.0,6.0,14.0,1.0,652.0,15.7,2741.15,5015.15,8.57,0.26,26.4,682.0,53.7,726.0,7.57
Mo,42.0,95.94,5.0,6.0,4.0,1.0,0.0,0.0,50.0,2.0,1.9,139.0,1.45,2.72,1.45,0.79,2.16,1.94,3.5548,3.9,1.47,5.78,6.0,4.0,1.0,0.0,5.0,0.0,1.0,6.0,5.0,14.0,1.0,684.0,12.8,2890.15,4885.15,10.2,0.25,32.0,598.0,138.0,658.0,6.82
Tc,43.0,97.9072,5.0,7.0,4.0,1.0,0.0,0.0,53.0,2.0,1.83,136.0,1.56,2.65,1.35,0.79,1.9,2.18,3.6096,4.0,1.51,5.78,7.0,5.0,2.0,0.0,5.0,0.0,0.0,6.0,5.0,14.0,2.0,702.0,11.4,2445.15,5150.15,11.5,0.21,24.0,660.0,50.6,677.0,6.85
Ru,44.0,101.07,5.0,8.0,4.0,1.0,0.0,0.0,56.0,2.0,1.78,134.0,1.26,2.605,1.3,0.82,2.2,1.97,3.6668,4.5,1.54,5.78,8.0,5.0,1.0,0.0,7.0,0.0,1.0,6.0,3.0,14.0,1.0,710.0,9.6,2583.15,4173.15,12.4,0.238,24.0,595.0,117.0,643.0,6.74
Rh,45.0,102.9055,5.0,9.0,4.0,1.0,0.0,0.0,59.0,2.0,1.73,132.0,1.35,2.52,1.35,0.81,2.28,1.99,3.7262,4.3,1.56,5.78,9.0,4.0,1.0,0.0,8.0,0.0,1.0,6.0,2.0,14.0,1.0,720.0,8.6,2239.15,4000.15,12.4,0.242,21.5,493.0,150.0,556.0,5.75
Pd,46.0,106.42,5.0,10.0,4.0,1.0,0.0,0.0,62.0,2.0,1.69,142.0,1.31,2.45,1.4,0.78,2.2,2.08,3.788,4.45,1.59,5.78,10.0,3.0,0.0,0.0,10.0,0.0,2.0,6.0,0.0,14.0,0.0,804.0,4.8,1827.15,3413.15,12.0,0.24,17.6,357.0,71.8,378.0,3.89
Ag,47.0,107.8682,5.0,11.0,4.0,1.0,0.0,0.0,65.0,0.0,1.65,144.0,1.53,2.375,1.6,1.29,1.93,1.07,3.8522,4.44,1.87,5.44,11.0,2.0,1.0,0.0,10.0,0.0,1.0,6.0,0.0,14.0,1.0,731.0,7.9,1235.15,2485.15,10.5,0.235,11.3,250.58,429.0,284.0,2.95
Cd,48.0,112.411,5.0,12.0,4.0,1.0,0.0,0.0,70.0,0.0,1.61,157.0,1.48,2.215,1.55,0.92,1.69,1.4,3.9187,4.33,1.52,4.44,12.0,1.0,2.0,0.0,10.0,0.0,0.0,6.0,0.0,14.0,2.0,868.0,7.2,594.05,1038.15,8.65,0.23,6.192,99.57,96.8,112.0,1.16
In,49.0,114.818,5.0,13.0,5.0,1.0,0.0,0.0,75.0,1.0,1.56,155.0,1.44,2.05,1.55,0.94,1.78,1.63,4.2337,3.1,1.656,3.44,3.0,3.0,2.0,1.0,10.0,0.0,0.0,5.0,0.0,14.0,2.0,558.0,9.7,429.75,2353.15,7.31,0.23,3.263,231.5,81.6,243.0,2.52
Sn,50.0,118.71,5.0,14.0,5.0,1.0,0.0,0.0,80.0,1.0,1.45,155.0,1.41,1.88,1.45,0.69,1.96,1.88,4.5926,4.3,1.824,4.0,4.0,4.0,2.0,2.0,10.0,0.0,0.0,4.0,0.0,14.0,2.0,709.0,7.7,505.15,2543.15,7.31,0.227,7.029,295.8,66.6,302.0,3.14
Sb,51.0,121.76,5.0,15.0,6.0,0.0,1.0,0.0,85.0,1.0,1.33,155.0,1.38,1.765,1.45,0.9,2.05,2.14,4.9953,4.85,1.984,3.0,5.0,5.0,2.0,3.0,10.0,0.0,0.0,3.0,0.0,14.0,2.0,834.0,6.6,904.15,2223.15,6.69,0.21,19.87,77.14,24.3,262.0,2.75
Te,52.0,127.6,5.0,16.0,6.0,0.0,1.0,0.0,90.0,1.0,1.23,140.0,1.35,1.67,1.4,1.11,2.1,2.38,5.4418,5.49,2.158,2.0,6.0,6.0,2.0,4.0,10.0,0.0,0.0,2.0,0.0,14.0,2.0,869.0,5.5,722.65,1262.95,6.24,0.2,17.49,52.55,2.35,197.0,2.19
I,53.0,126.90447,5.0,17.0,8.0,0.0,1.0,0.0,96.0,1.0,1.15,107.8,1.33,1.585,1.4,2.06,2.66,2.76,5.9319,6.76,2.359,0.0,7.0,7.0,2.0,5.0,10.0,0.0,0.0,1.0,0.0,14.0,7.0,1008.0,5.0,386.65,457.15,4.93,0.214,7.824,20.752,0.449,107.0,1.11
Xe,54.0,131.29,5.0,18.0,9.0,0.0,1.0,0.0,102.0,1.0,1.08,98.6,1.3,0.0,1.08,0.62,2.6,0.0,6.4662,6.122,2.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,14.0,0.0,1170.0,4.0,161.35,166.05,0.00589,0.158,2.297,12.636,0.00569,0.0,0.16
Cs,55.0,132.90543,6.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,2.98,264.0,2.25,4.31,2.6,1.81,0.79,0.77,4.4326,2.18,0.659,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,10.0,14.0,1.0,376.0,59.6,301.55,942.15,1.87,0.24,2.092,67.74,35.9,79.0,0.804
Ba,56.0,137.327,6.0,2.0,2.0,1.0,0.0,0.0,9.0,0.0,2.53,223.0,1.98,3.402,2.15,1.49,0.89,1.08,4.4699,2.4,0.881,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,14.0,2.0,503.0,39.7,998.15,1913.15,3.5,0.204,7.75,142.0,18.4,180.0,1.9
La,57.0,138.9055,6.0,3.0,3.0,1.0,0.0,0.0,13.0,2.0,1.95,187.0,1.69,3.08,1.95,1.36,1.1,1.35,4.5168,3.1,1.09,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,9.0,14.0,2.0,538.0,31.1,1193.15,3727.15,6.15,0.19,6.2,414.0,13.5,423.0,4.47
Ce,58.0,140.115,6.0,3.0,3.0,1.0,0.0,0.0,15.0,3.0,1.85,182.0,1.65,4.5,1.85,1.15,1.12,1.1,4.5734,3.1,1.09,3.2,3.0,3.0,2.0,0.0,1.0,1.0,0.0,6.0,9.0,13.0,2.0,534.0,29.6,1071.15,3530.15,6.66,0.19,5.46,414.0,11.4,419.0,4.32
Pr,59.0,140.90765,6.0,3.0,3.0,1.0,0.0,0.0,17.0,3.0,2.47,183.0,1.65,4.48,1.85,1.32,1.13,1.1,4.6395,3.1,1.09,3.1,3.0,3.0,2.0,0.0,0.0,3.0,0.0,6.0,10.0,11.0,2.0,527.0,28.2,1204.15,3290.15,6.77,0.19,6.89,296.8,12.5,356.0,3.7
Nd,60.0,144.24,6.0,3.0,3.0,1.0,0.0,0.0,19.0,3.0,2.06,182.0,1.84,3.99,1.85,1.3,1.14,1.2,4.7152,3.1,1.09,3.1,3.0,3.0,2.0,0.0,0.0,4.0,0.0,6.0,10.0,10.0,2.0,533.0,31.4,1289.15,3400.15,7.0,0.19,7.14,273.0,16.5,328.0,3.4
Pm,61.0,144.9127,6.0,3.0,3.0,1.0,0.0,0.0,21.0,3.0,2.05,185.0,1.63,3.99,1.85,1.28,1.13,1.15,4.8006,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0,6.0,10.0,9.0,2.0,535.0,30.1,1315.15,3273.15,7.26,0.18,7.88,214.0,15.0,301.0,0.0
Sm,62.0,150.36,6.0,3.0,3.0,1.0,0.0,0.0,23.0,3.0,2.38,185.0,1.62,4.14,1.85,1.1,1.17,1.2,4.8955,3.1,1.09,2.8,3.0,3.0,2.0,0.0,0.0,6.0,0.0,6.0,10.0,8.0,2.0,545.0,28.8,1347.15,2067.15,7.52,0.2,8.63,166.4,13.3,207.0,2.14
Eu,63.0,151.965,6.0,3.0,3.0,1.0,0.0,0.0,25.0,3.0,2.31,196.0,1.85,3.94,1.85,1.31,1.2,1.15,5.0001,3.1,1.09,2.0,3.0,3.0,2.0,0.0,0.0,7.0,0.0,6.0,10.0,7.0,2.0,547.0,27.7,1095.15,1802.15,5.24,0.18,9.21,143.5,13.9,178.0,1.86
Gd,64.0,157.25,6.0,3.0,3.0,1.0,0.0,0.0,27.0,3.0,2.33,176.0,1.61,3.91,1.8,1.08,1.2,1.1,5.1142,3.1,1.09,3.0,3.0,3.0,2.0,0.0,1.0,7.0,0.0,6.0,9.0,7.0,2.0,593.0,23.5,1586.15,3546.15,7.9,0.23,10.05,359.4,10.6,398.0,4.14
Tb,65.0,158.92534,6.0,3.0,3.0,1.0,0.0,0.0,29.0,3.0,2.25,176.0,1.59,3.89,1.75,1.18,1.2,1.2,5.238,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,9.0,0.0,6.0,10.0,5.0,2.0,569.0,25.5,1638.15,3503.15,8.23,0.18,10.8,330.9,11.1,389.0,4.05
Dy,66.0,162.5,6.0,3.0,3.0,1.0,0.0,0.0,31.0,3.0,2.28,175.0,1.59,3.67,1.75,1.05,1.22,1.15,5.3714,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,10.0,0.0,6.0,10.0,4.0,2.0,573.0,24.5,1685.15,2840.15,8.55,0.17,11.06,230.1,10.7,291.0,3.04
Ho,67.0,164.93032,6.0,3.0,3.0,1.0,0.0,0.0,33.0,3.0,2.26,177.0,1.58,3.65,1.75,1.04,1.23,1.2,5.5143,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,11.0,0.0,6.0,10.0,3.0,2.0,581.0,23.6,1747.15,2973.15,8.8,0.16,12.2,241.0,16.2,301.0,3.14
Er,68.0,167.26,6.0,3.0,3.0,1.0,0.0,0.0,35.0,3.0,2.26,175.0,1.57,3.63,1.75,1.03,1.24,1.2,5.6669,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,12.0,0.0,6.0,10.0,2.0,2.0,589.0,22.7,1802.15,3141.15,9.07,0.17,19.9,261.0,14.3,317.0,3.29
Tm,69.0,168.93421,6.0,3.0,3.0,1.0,0.0,0.0,37.0,3.0,2.22,175.0,1.56,3.6,1.75,1.02,1.25,1.2,5.8291,3.1,1.09,3.0,3.0,3.0,2.0,0.0,0.0,13.0,0.0,6.0,10.0,1.0,2.0,597.0,21.8,1818.15,2223.15,9.32,0.16,16.84,191.0,16.8,232.0,2.42
Yb,70.0,173.04,6.0,3.0,3.0,1.0,0.0,0.0,39.0,3.0,2.22,190.0,1.56,3.59,1.75,1.13,1.1,1.1,6.0009,3.1,1.09,2.0,3.0,3.0,2.0,0.0,0.0,14.0,0.0,6.0,10.0,0.0,2.0,603.0,21.0,1092.15,1469.15,6.97,0.15,7.66,128.9,34.9,152.0,1.6
Lu,71.0,174.967,6.0,3.0,3.0,1.0,0.0,0.0,41.0,2.0,2.17,175.0,1.6,3.37,1.75,1.0,1.27,1.2,6.1824,3.1,1.09,3.0,3.0,3.0,2.0,0.0,1.0,14.0,0.0,6.0,9.0,0.0,2.0,524.0,21.9,1936.15,3675.15,9.84,0.15,18.6,355.9,16.4,427.0,4.43
Hf,72.0,178.49,6.0,4.0,4.0,1.0,0.0,0.0,45.0,2.0,2.08,158.0,1.5,2.91,1.55,0.85,1.3,1.73,6.3704,3.8,1.16,4.0,4.0,2.0,2.0,0.0,2.0,14.0,0.0,6.0,8.0,0.0,2.0,659.0,16.2,2500.15,4873.15,13.3,0.14,24.06,575.0,23.0,619.0,6.44
Ta,73.0,180.9479,6.0,5.0,4.0,1.0,0.0,0.0,48.0,2.0,2.0,145.0,1.38,2.79,1.45,0.78,1.5,1.94,6.5738,4.11,1.34,5.0,5.0,3.0,2.0,0.0,3.0,14.0,0.0,6.0,7.0,0.0,2.0,761.0,13.1,3269.15,5698.15,16.6,0.14,31.6,743.0,57.5,782.0,8.1
W,74.0,183.84,6.0,6.0,4.0,1.0,0.0,0.0,51.0,2.0,1.93,135.0,1.46,2.735,1.35,0.74,2.36,1.79,6.7841,4.4,1.47,5.78,6.0,4.0,2.0,0.0,4.0,14.0,0.0,6.0,6.0,0.0,2.0,770.0,11.1,3683.15,5933.15,19.3,0.13,35.4,824.0,174.0,849.0,8.9
Re,75.0,186.207,6.0,7.0,4.0,1.0,0.0,0.0,54.0,2.0,1.88,137.0,1.59,2.68,1.35,0.77,1.9,2.06,7.004,4.02,1.6,5.78,7.0,5.0,2.0,0.0,5.0,14.0,0.0,6.0,5.0,0.0,2.0,760.0,9.7,3453.15,5873.15,21.0,0.13,33.2,715.0,47.9,770.0,8.03
Os,76.0,190.23,6.0,8.0,4.0,1.0,0.0,0.0,57.0,2.0,1.85,135.0,1.28,2.65,1.3,0.77,2.2,1.85,7.2335,4.9,1.65,5.78,8.0,5.0,2.0,0.0,6.0,14.0,0.0,6.0,4.0,0.0,2.0,839.0,8.5,3318.15,5303.15,22.6,0.13,31.8,746.0,87.6,791.0,8.17
Ir,77.0,192.22,6.0,9.0,4.0,1.0,0.0,0.0,60.0,2.0,1.8,136.0,1.37,2.628,1.35,0.77,2.2,1.87,7.4345,5.4,1.68,5.78,9.0,4.0,2.0,0.0,7.0,14.0,0.0,6.0,3.0,0.0,2.0,878.0,7.6,2683.15,4403.15,22.4,0.13,26.1,604.0,147.0,665.0,6.94
Pt,78.0,195.08,6.0,10.0,4.0,1.0,0.0,0.0,63.0,2.0,1.77,139.0,1.28,2.7,1.35,0.74,2.28,1.91,7.7208,5.6,1.72,5.78,10.0,3.0,1.0,0.0,9.0,14.0,1.0,6.0,1.0,0.0,1.0,868.0,6.5,2045.15,4100.15,21.4,0.13,19.6,510.0,71.6,565.0,5.84
Au,79.0,196.96654,6.0,11.0,4.0,1.0,0.0,0.0,66.0,2.0,1.74,143.0,1.44,2.66,1.35,1.51,2.54,1.19,7.9791,5.77,1.92,5.44,11.0,2.0,1.0,0.0,10.0,14.0,1.0,6.0,0.0,0.0,1.0,890.0,6.1,1337.15,3353.15,19.3,0.128,12.55,334.4,317.0,366.0,3.81
Hg,80.0,200.59,6.0,12.0,4.0,1.0,0.0,0.0,71.0,2.0,1.71,152.0,1.49,2.41,1.5,0.83,2.0,1.49,8.2469,4.91,1.76,4.44,12.0,1.0,2.0,0.0,10.0,14.0,0.0,6.0,0.0,0.0,2.0,1007.0,5.4,234.25,630.15,13.5,0.139,2.295,59.229,8.34,61.0,0.67
Tl,81.0,204.3833,6.0,13.0,5.0,1.0,0.0,0.0,76.0,1.0,1.56,172.0,1.48,2.235,1.9,1.03,1.62,1.69,4.6618,3.2,1.789,3.44,3.0,3.0,2.0,1.0,10.0,14.0,0.0,5.0,0.0,0.0,3.0,589.0,7.6,576.15,1730.15,11.9,0.13,4.142,164.1,46.1,182.0,1.88
Pb,82.0,207.2,6.0,14.0,5.0,1.0,0.0,0.0,81.0,1.0,1.54,174.0,1.47,2.09,1.8,1.49,1.87,1.92,4.7404,3.9,1.854,2.44,4.0,4.0,2.0,2.0,10.0,14.0,0.0,4.0,0.0,0.0,4.0,716.0,6.8,600.65,2013.15,11.4,0.13,4.799,177.7,35.3,196.0,2.03
Bi,83.0,208.98037,6.0,15.0,5.0,1.0,0.0,0.0,86.0,1.0,1.43,162.0,1.46,1.997,1.6,1.17,2.02,2.14,4.8288,4.69,2.01,3.0,5.0,5.0,2.0,3.0,10.0,14.0,0.0,3.0,0.0,0.0,5.0,703.0,7.4,544.15,1833.15,9.75,0.12,11.3,104.8,7.87,207.0,2.18
Th,90.0,232.0381,7.0,3.0,3.0,1.0,0.0,0.0,16.0,2.0,1.8,178.0,1.65,4.98,1.8,1.19,1.3,1.3,2.8784,3.2,1.11,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,14.0,2.0,587.0,32.1,2023.15,5063.15,11.7,0.12,16.1,514.4,54.0,576.0,6.2
U,92.0,238.0289,7.0,3.0,3.0,1.0,0.0,0.0,20.0,3.0,1.75,158.0,1.42,4.72,1.75,0.87,1.38,1.7,3.3168,3.4,1.22,5.78,3.0,3.0,2.0,0.0,1.0,3.0,0.0,6.0,9.0,11.0,2.0,598.0,27.4,1405.15,4091.15,19.0,0.12,14.0,477.0,27.6,490.0,5.55
